title,author,publisher,grade_specific,grade_category,source,publication_date,isbn,translator
奇幻聊齋：一杯茶換來的故事,"作者：岑澎維\n繪者：林鴻堯",國語日報,五下,高,喜閱網,2009-09-02,9789577515667,
我的同學是一隻熊,"作者：張友漁\n繪者：貓魚",親子天下,五下,高,喜閱網,2021-07-29,9786263050341,
原來古人這麼機智,"作者：謝武彰\n繪者：顏銘儀",小麥田,五下,高,喜閱網,2022-12-03,9786267000830,
搶救老師大作戰,"作者：鄭丞鈞\n繪者：吳嘉鴻",九歌,五下,高,喜閱網,2022/10/30,9789864504961,
病毒不是故意的？！,"作者：黃貞祥\n繪者：陳彥伶",字畝文化,五下,高,喜閱網,2021-05-26,9789865593018,
我的便利貼媽媽,"作者：張友漁\n繪者：薛慧瑩",親子天下,五下,高,喜閱網,2019-01-22,9789575033286,
廁所幫少年偵探2：找回黃金硯,"作者：林佑儒\n繪者：楊麗玲",小兵,五下,高,喜閱網,2014-02-20,9789866119934,
鯨聲月光河,"作者：張嘉驊\n繪者：森酪梨",四也出版,五下,高,喜閱網,2019-03-01,9789869735468,
打怪的暑假,"作者：徐磊瑄、高建成\n繪者：徐至宏",幼獅文化,五下,高,喜閱網,2013-07-01,9789575749156,
玉山的召喚,"作者：陳景聰  \n編者：賴彥成",四也出版,五下,高,喜閱網,2012-06-01,9789866039157,
目擊證人：你今天目擊了什麼？,作者：張友漁,國語日報,五下,高,喜閱網,2016-07-05,9789577517814,
一封沒有字的信,"作者：鄭宗弦 \n繪者：李憶婷",文房,五下,高,喜閱網,2018-09-01,9789578602366,
小提琴女孩：擁抱生命的樂章,"作者：朱嘉雯    \n繪者：林家棟",台灣東方,五下,高,喜閱網,2016-08-01,9789863381358,
給孩子的希臘羅馬神話故事(上)：眾神的世界大戰,"作者：王文華   \n繪者：九子",小麥田,五下,高,喜閱網,2017-09-30,9789869352673,
孤狗少年,"作者：陳榕笙    \n繪者：王淑慧",四也出版,五下,高,喜閱網,2017-02-15,9789869429122,
小學生的調查任務：發現驚奇圖書館,"作者：林怡辰\n繪者：Mori三木森",親子天下,六上,高,喜閱網,2023-05-04,9786263054691,
科學破案少女1：日常生活有危機！,"作者：陳偉民\n繪者：LONLON",幼獅文化,六上,高,喜閱網,2023-04-10,9789864492824,
我不是怪咖,"作者：姜子安\n繪者：陳沛珛",九歌,六上,高,喜閱網,2023/06/29,9789864505708,
妮子家的餐桌：37道幸福滋味,"作者：陳素宜\n繪者：楊麗玲",國語日報,六上,高,喜閱網,2016/09/10,9789577517821,
我的瑪那！山林中的成年禮,"作者：海德薇\n繪者：Naomi 芝",秀威少年,六上,高,喜閱網,2023/08/01,9786269634996,
數學獵人,"作者：李儀婷\n繪者：楊宛靜",國語日報,六上,高,喜閱網,2017/08/10,9789577518026,
愛呆西非海在海的另一邊,"作者：嚴淑女\n繪者：張偉",字畝,六上,高,喜閱網,2021-08-25,9789860731675,
我的老師是偵探,"作者：王文華\n繪者：賴馬",親子天下,六上,高,喜閱網,2015-01-22,9789863206491,
再見天人菊,"作者：李潼\n繪者：閒雲野鶴",聯經出版,六上,高,喜閱網,2010-04-14,9789570835687,
一個人的單車旅行,"作者：廖大魚\n繪者：徐至宏",小兵,六上,高,喜閱網,2018-02-27,9789869533560,
值得認識的38個：細菌好朋友,"作者：陳俊堯\n繪者：FOREST",國語日報,六上,高,喜閱網,2018-08-13,9789577518187,
跑道,"作者：陳肇宜\n繪者：DEER JAN",小兵,六上,高,喜閱網,2017-09-20,9789869533508,
喂.穿裙子的！,"作者：張友漁\n繪者：朵兒普拉司",幼獅文化,六上,高,喜閱網,2013-08-01,9789575749217,
"改變世界的好設計01 用心點亮世界：\n影響人類百年文明的視障者","作者：張文亮    \n繪者：顏寧儀",親子天下,六上,高,喜閱網,2017-03-06,9789869443319,
